 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity,IsAmnion
1,18s1z14.tif,124.62,188.63,174.37,13.40,11.84,95.19,0.67,1.13,0.88,0.92,N
2,18s1z14.tif,40.56,232.89,175.20,9.23,5.60,91.23,0.52,1.65,0.61,0.81,Y
3,18s1z14.tif,95.88,200.58,177.63,11.85,10.31,165.98,0.82,1.15,0.87,0.96,Y
4,18s1z14.tif,47.16,210.71,178.48,8.58,7.00,71.04,0.62,1.23,0.82,0.89,Y
5,18s1z14.tif,98.51,242.18,183.55,15.50,8.09,146.77,0.62,1.92,0.52,0.90,Y
6,18s1z14.tif,120.39,178.69,187.16,14.00,10.95,115.81,0.49,1.28,0.78,0.85,N
7,18s1z14.tif,54.85,188.86,186.98,9.81,7.12,33.54,0.49,1.38,0.73,0.85,N
8,18s1z14.tif,56.20,198.93,186.71,9.76,7.33,52.30,0.61,1.33,0.75,0.85,Y
9,18s1z14.tif,74.00,169.77,191.57,12.58,7.49,96.11,0.68,1.68,0.60,0.92,N
10,18s1z14.tif,76.53,253.15,191.94,12.71,7.66,129.67,0.73,1.66,0.60,0.92,Y
11,18s1z14.tif,39.84,160.72,192.48,7.94,6.39,75.82,0.80,1.24,0.81,0.92,N
12,18s1z14.tif,49.02,191.74,193.82,9.24,6.75,2.94,0.58,1.37,0.73,0.84,N
13,18s1z14.tif,31.32,165.32,196.29,7.32,5.45,129.86,0.64,1.34,0.74,0.88,N
14,18s1z14.tif,47.22,158.57,201.20,8.67,6.94,177.44,0.77,1.25,0.80,0.93,N
15,18s1z14.tif,88.34,179.86,205.69,12.15,9.26,45.67,0.37,1.31,0.76,0.81,N
16,18s1z14.tif,78.49,170.61,207.05,12.30,8.13,81.85,0.79,1.51,0.66,0.94,N
17,18s1z14.tif,64.55,264.38,206.79,10.52,7.81,138.46,0.81,1.35,0.74,0.94,Y
18,18s1z14.tif,50.52,163.17,208.21,8.59,7.49,122.29,0.83,1.15,0.87,0.95,N
19,18s1z14.tif,107.75,149.85,213.75,13.00,10.55,51.06,0.77,1.23,0.81,0.93,N
20,18s1z14.tif,57.33,136.02,211.90,9.36,7.80,157.41,0.74,1.20,0.83,0.93,N
21,18s1z14.tif,78.28,174.64,215.21,13.19,7.56,11.47,0.63,1.74,0.57,0.88,N
22,18s1z14.tif,72.35,269.07,216.84,12.30,7.49,138.37,0.65,1.64,0.61,0.90,Y
23,18s1z14.tif,95.05,162.74,218.04,12.91,9.38,109.19,0.56,1.38,0.73,0.87,N
24,18s1z14.tif,70.90,171.74,222.97,10.37,8.71,176.82,0.72,1.19,0.84,0.90,N
25,18s1z14.tif,58.26,140.97,222.50,10.53,7.04,159.75,0.80,1.50,0.67,0.96,N
26,18s1z14.tif,44.74,148.77,224.73,8.39,6.79,136.21,0.73,1.24,0.81,0.92,N
27,18s1z14.tif,123.02,273.66,227.82,14.33,10.93,127.57,0.64,1.31,0.76,0.89,Y
28,18s1z14.tif,69.35,143.98,230.99,11.92,7.41,178.88,0.68,1.61,0.62,0.90,N
29,18s1z14.tif,50.62,170.99,229.87,9.89,6.52,175.46,0.75,1.52,0.66,0.93,N
30,18s1z14.tif,40.82,179.52,231.16,7.88,6.59,154.00,0.75,1.20,0.84,0.91,N
31,18s1z14.tif,71.62,170.57,236.70,13.29,6.86,157.66,0.61,1.94,0.52,0.89,N
32,18s1z14.tif,68.53,270.00,239.70,11.22,7.78,69.99,0.56,1.44,0.69,0.85,Y
33,18s1z14.tif,73.38,258.90,242.42,12.79,7.31,93.98,0.71,1.75,0.57,0.92,Y
34,18s1z14.tif,60.07,176.96,243.99,11.03,6.93,12.52,0.39,1.59,0.63,0.83,N
35,18s1z14.tif,81.43,165.12,246.12,11.36,9.13,115.54,0.55,1.24,0.80,0.89,N
36,18s1z14.tif,55.42,252.73,247.31,8.71,8.10,107.49,0.79,1.08,0.93,0.95,Y
37,18s1z14.tif,101.55,235.55,250.21,16.50,7.84,72.65,0.62,2.11,0.48,0.91,Y
38,18s1z14.tif,141.13,243.42,252.70,17.97,10.00,67.37,0.67,1.80,0.56,0.92,Y
39,18s1z14.tif,158.11,226.17,252.10,18.03,11.17,74.15,0.75,1.61,0.62,0.94,Y
40,18s1z14.tif,45.36,155.75,248.40,9.43,6.12,139.25,0.73,1.54,0.65,0.90,N
41,18s1z14.tif,124.31,216.24,252.09,15.02,10.54,89.31,0.75,1.42,0.70,0.93,Y
42,18s1z14.tif,39.58,187.34,248.50,7.47,6.75,9.71,0.54,1.11,0.90,0.83,N
43,18s1z14.tif,35.92,184.33,253.89,9.71,4.71,108.66,0.65,2.06,0.48,0.92,N
44,18s1z14.tif,113.11,175.02,254.59,15.46,9.31,8.91,0.64,1.66,0.60,0.89,N
45,18s1z14.tif,107.08,253.92,256.68,12.82,10.63,72.33,0.74,1.21,0.83,0.91,Y
46,18s1z14.tif,118.07,203.88,257.28,13.78,10.91,167.13,0.61,1.26,0.79,0.88,Y
