dataset,cell_type,orientation_angle
Day 12,Amnion,58.869602354568556
Day 12,Amnion,71.11327186192996
Day 12,Amnion,88.1321797218587
Day 12,Amnion,31.037736769438595
Day 12,Amnion,56.99014824552707
Day 12,Amnion,68.34418868365947
Day 12,Amnion,45.71094604588106
Day 12,Amnion,49.75335973908926
Day 12,Amnion,72.63419444355614
Day 12,Amnion,82.03674498170334
Day 12,Amnion,84.49203572470165
Day 12,Amnion,80.66320913618257
Day 12,Amnion,58.284925084175015
Day 12,Amnion,76.98931804183476
Day 12,Amnion,24.951047580310686
Day 12,Amnion,35.69777030684945
Day 12,Amnion,73.85727383291368
Day 12,Amnion,45.03170077511231
Day 12,Amnion,53.226433146873404
Day 12,Amnion,30.687519792807876
Day 12,Intermediate,53.774900871202135
Day 12,Intermediate,3.0916208451054104
Day 12,Intermediate,11.978276920670304
Day 12,Intermediate,82.8997470730458
Day 12,Intermediate,20.371979903925165
Day 12,Intermediate,58.56222843858728
Day 12,Intermediate,17.6858152328347
Day 12,Intermediate,79.05607381283153
Day 12,Intermediate,18.13020593847702
Day 12,Intermediate,26.752069477782786
Day 12,Intermediate,26.110514732343518
Day 12,Intermediate,37.54428256236463
Day 12,Intermediate,13.506036675380926
Day 12,Intermediate,22.157279357771046
Day 12,Intermediate,63.61653338433113
Day 12,Intermediate,73.6365789419357
Day 12,Intermediate,3.0128805607159634
Day 12,Intermediate,0.18784286419690943
Day 12,Intermediate,0.7593212422063083
Day 12,Intermediate,10.393782727630452
Day 12,Intermediate,41.544259364581066
Day 12,Intermediate,59.83697289131676
Day 12,Intermediate,42.41401369848065
Day 12,Intermediate,72.7466699165896
Day 12,Intermediate,88.80806926485455
Day 12,Intermediate,86.02798541648066
Day 12,Intermediate,28.40989043618484
Day 12,Intermediate,30.326950904872895
Day 12,Intermediate,79.36377259251292
Day 12,Intermediate,69.81863450546166
Day 12,Intermediate,60.37092613018166
Day 12,Intermediate,36.269733843361735
Day 12,Intermediate,54.36015778313126
Day 12,Intermediate,69.00221392125025
Day 12,Intermediate,59.727074132684365
Day 12,Intermediate,78.29304463738774
Day 12,Intermediate,71.99007245924099
Day 12,Intermediate,66.42708610794973
Day 12,Intermediate,61.771258856549224
Day 12,Intermediate,17.34186150676338
Day 12,Intermediate,78.95510348004255
Day 12,Intermediate,76.57364913612614
Day 12,Intermediate,51.604264388169945
Day 12,Intermediate,71.015894174729
Day 12,Intermediate,17.290055459098546
Day 12,Intermediate,21.113410842037325
Day 12,Intermediate,10.9480067037521
Day 12,Intermediate,41.62450629362698
Day 12,Intermediate,55.29458636614045
Day 12,Intermediate,32.40791344190989
Day 12,Intermediate,38.03753769751515
Day 12,Intermediate,16.158703276213135
Day 12,Intermediate,61.55395294738963
Day 12,Intermediate,85.20474360206467
Day 12,Intermediate,78.96068276406815
Day 12,Intermediate,85.95122100904295
Day 12,Intermediate,28.670762703371935
Day 12,Intermediate,72.19703349327519
Day 12,Intermediate,74.63004243146113
Day 12,Intermediate,25.242416648177212
Day 12,Intermediate,0.8613116240139469
Day 12,Intermediate,48.34431312227122
Day 12,Intermediate,2.254769190151144
Day 12,Intermediate,51.74603988127947
Day 12,Intermediate,47.11519588110256
Day 12,Intermediate,40.49729803354799
Day 12,Intermediate,38.710400287365616
Day 12,Intermediate,2.2691381213876696
Day 12,Epiblast,85.07556217780478
Day 12,Epiblast,58.8190523491333
Day 12,Epiblast,70.38035791127722
Day 12,Epiblast,89.89905369463901
Day 12,Epiblast,46.856173989310065
Day 12,Epiblast,15.652407935922326
Day 12,Epiblast,0.7780246832606963
Day 12,Epiblast,51.04034076125893
Day 12,Epiblast,45.20692121729152
Day 12,Epiblast,34.785434219987195
Day 12,Epiblast,89.4456394407236
Day 12,Epiblast,20.73499728985553
Day 12,Epiblast,35.71507105891081
Day 12,Epiblast,27.30295716144653
Day 12,Epiblast,27.559782478861095
Day 12,Epiblast,25.715636207080586
Day 12,Epiblast,11.232910536438936
Day 12,Epiblast,7.371575817542379
Day 12,Epiblast,28.558585471750405
Day 12,Epiblast,28.090246819111798
Day 12,Epiblast,10.332415040612027
Day 12,Epiblast,34.73272092258904
Day 12,Epiblast,25.67073956447743
Day 12,Epiblast,38.670168803909974
Day 12,Epiblast,41.59343326401361
Day 12,Epiblast,33.153817548929226
Day 12,Epiblast,37.449521793136846
Day 12,Epiblast,2.680090333373073
Day 12,Epiblast,48.24599968250311
Day 12,Epiblast,25.19961217438032
Day 12,Epiblast,64.59793445223517
Day 12,Epiblast,48.89090617074338
Day 12,Epiblast,37.005497655796276
Day 12,Epiblast,46.77932798125974
Day 12,Epiblast,36.36611317765045
Day 12,Epiblast,33.58171321719783
Day 12,Epiblast,61.41024149866683
Day 12,Epiblast,62.65774476663934
Day 12,Epiblast,13.026033344091829
Day 12,Epiblast,0.04093095324371632
