 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity,EpiblastAmnionIntermediate
1,17s1z20.tif,34.01,160.41,193.39,7.69,5.63,25.59,0.79,1.37,0.73,0.91,A
2,17s1z20.tif,59.76,169.28,195.03,9.31,8.17,177.02,0.79,1.14,0.88,0.92,A
3,17s1z20.tif,122.56,211.82,199.25,15.13,10.32,159.25,0.59,1.47,0.68,0.88,I
4,17s1z20.tif,88.70,185.52,199.52,12.01,9.40,105.67,0.58,1.28,0.78,0.86,A
5,17s1z20.tif,68.58,239.23,201.92,13.97,6.25,156.84,0.67,2.24,0.45,0.91,I
6,17s1z20.tif,66.26,230.30,205.66,11.77,7.17,149.03,0.67,1.64,0.61,0.89,I
7,17s1z20.tif,100.62,250.02,210.27,16.41,7.81,11.83,0.68,2.10,0.48,0.91,E
8,17s1z20.tif,103.98,169.23,216.63,14.76,8.97,103.30,0.74,1.64,0.61,0.93,A
9,17s1z20.tif,76.11,265.65,214.12,12.23,7.92,20.91,0.78,1.54,0.65,0.94,E
10,17s1z20.tif,180.45,260.25,224.34,22.39,10.26,159.10,0.56,2.18,0.46,0.89,E
11,17s1z20.tif,42.83,172.26,228.17,8.01,6.81,16.28,0.60,1.18,0.85,0.84,A
12,17s1z20.tif,87.26,282.65,231.11,12.94,8.59,176.21,0.76,1.51,0.66,0.94,E
13,17s1z20.tif,55.63,179.00,235.54,10.37,6.83,91.52,0.76,1.52,0.66,0.93,A
14,17s1z20.tif,181.02,264.06,236.47,23.46,9.82,172.35,0.57,2.39,0.42,0.90,E
15,17s1z20.tif,70.18,187.16,243.25,10.76,8.30,2.48,0.84,1.30,0.77,0.94,A
16,17s1z20.tif,113.94,261.67,245.70,15.33,9.46,0.83,0.69,1.62,0.62,0.90,E
17,17s1z20.tif,95.52,197.17,247.77,12.10,10.05,3.32,0.79,1.20,0.83,0.93,I
18,17s1z20.tif,163.79,247.80,251.02,16.23,12.85,16.92,0.73,1.26,0.79,0.92,E
19,17s1z20.tif,149.23,211.08,254.14,16.26,11.69,25.52,0.57,1.39,0.72,0.89,I
20,17s1z20.tif,33.39,228.21,257.64,7.22,5.89,17.33,0.61,1.23,0.82,0.82,I
