 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity,EpiblastAmnionIntermediate
1,260916_Day12-Vasc_S9-Sec3_Z23.tif,100.65,111.03,82.03,12.47,10.28,69.24,0.45,1.21,0.82,0.81,A
2,260916_Day12-Vasc_S9-Sec3_Z23.tif,83.81,120.76,82.36,11.14,9.58,76.78,0.65,1.16,0.86,0.88,A
3,260916_Day12-Vasc_S9-Sec3_Z23.tif,57.67,133.13,83.77,11.03,6.66,57.79,0.72,1.66,0.60,0.90,A
4,260916_Day12-Vasc_S9-Sec3_Z23.tif,43.12,92.48,86.37,9.36,5.86,101.34,0.50,1.60,0.63,0.82,A
5,260916_Day12-Vasc_S9-Sec3_Z23.tif,97.79,140.05,88.20,12.22,10.19,118.54,0.76,1.20,0.83,0.93,I
6,260916_Day12-Vasc_S9-Sec3_Z23.tif,91.74,86.27,92.43,12.01,9.73,166.15,0.67,1.23,0.81,0.91,A
7,260916_Day12-Vasc_S9-Sec3_Z23.tif,89.66,151.67,97.00,13.11,8.71,12.55,0.79,1.51,0.66,0.95,A
8,260916_Day12-Vasc_S9-Sec3_Z23.tif,65.29,78.79,98.98,10.14,8.20,20.91,0.72,1.24,0.81,0.92,I
9,260916_Day12-Vasc_S9-Sec3_Z23.tif,58.57,159.27,101.77,10.43,7.15,37.95,0.77,1.46,0.69,0.93,I
10,260916_Day12-Vasc_S9-Sec3_Z23.tif,67.11,70.16,103.15,10.65,8.02,9.21,0.69,1.33,0.75,0.89,I
11,260916_Day12-Vasc_S9-Sec3_Z23.tif,81.36,64.78,109.64,11.52,8.99,130.03,0.62,1.28,0.78,0.89,I
12,260916_Day12-Vasc_S9-Sec3_Z23.tif,111.17,154.34,111.02,12.79,11.06,47.13,0.72,1.16,0.86,0.91,I
13,260916_Day12-Vasc_S9-Sec3_Z23.tif,43.28,144.19,110.44,9.57,5.76,138.58,0.65,1.66,0.60,0.88,I
14,260916_Day12-Vasc_S9-Sec3_Z23.tif,230.03,148.51,121.88,23.18,12.64,156.64,0.56,1.83,0.55,0.87,I
15,260916_Day12-Vasc_S9-Sec3_Z23.tif,116.48,62.72,121.45,13.05,11.37,169.53,0.81,1.15,0.87,0.95,I
16,260916_Day12-Vasc_S9-Sec3_Z23.tif,158.45,118.70,124.59,16.90,11.94,17.20,0.74,1.42,0.71,0.95,E
17,260916_Day12-Vasc_S9-Sec3_Z23.tif,146.89,133.98,125.56,16.10,11.61,163.35,0.78,1.39,0.72,0.94,E
18,260916_Day12-Vasc_S9-Sec3_Z23.tif,49.43,64.59,129.57,10.40,6.05,13.64,0.62,1.72,0.58,0.88,E
19,260916_Day12-Vasc_S9-Sec3_Z23.tif,147.43,76.65,134.80,16.09,11.67,177.17,0.33,1.38,0.73,0.75,E
20,260916_Day12-Vasc_S9-Sec3_Z23.tif,106.19,99.39,136.38,13.20,10.24,49.15,0.75,1.29,0.78,0.93,E
21,260916_Day12-Vasc_S9-Sec3_Z23.tif,57.33,116.30,133.76,11.74,6.22,9.34,0.73,1.89,0.53,0.95,E
22,260916_Day12-Vasc_S9-Sec3_Z23.tif,34.88,90.79,137.58,7.33,6.06,111.26,0.74,1.21,0.83,0.91,E
23,260916_Day12-Vasc_S9-Sec3_Z23.tif,32.63,86.30,140.46,6.86,6.06,127.55,0.69,1.13,0.88,0.89,E
