Section,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
43,9589.16,386.67,379.76,178.87,68.26,16.42,0.43,2.62,0.38,0.76
44,10095.49,377.67,383.59,190.44,67.50,16.30,0.43,2.82,0.35,0.74
45,9044.71,388.25,382.22,181.23,63.54,18.52,0.40,2.85,0.35,0.70
46,9215.85,380.90,382.85,176.03,66.66,13.08,0.32,2.64,0.38,0.64
47,7714.60,375.81,385.36,169.11,58.08,10.37,0.28,2.91,0.34,0.58
48,6777.32,377.14,386.10,164.26,52.53,14.55,0.38,3.13,0.32,0.69
49,6545.00,375.66,386.07,163.83,50.86,13.83,0.38,3.22,0.31,0.68
50,6866.88,373.50,385.60,164.28,53.22,9.75,0.32,3.09,0.32,0.63
51,6906.79,366.81,383.60,162.21,54.21,8.82,0.27,2.99,0.33,0.59
52,6928.96,369.27,384.43,167.32,52.73,11.73,0.28,3.17,0.32,0.64
