Section,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
65,100960.91,544.68,473.37,432.63,297.13,160.18,0.82,1.46,0.69,0.96
66,102239.96,540.39,471.84,431.98,301.35,161.50,0.83,1.43,0.70,0.96
67,104931.73,538.35,474.55,433.92,307.90,162.02,0.84,1.41,0.71,0.96
68,106167.60,535.88,451.79,433.79,311.62,162.23,0.83,1.39,0.72,0.96
69,108941.63,538.33,448.68,438.12,316.60,162.78,0.80,1.38,0.72,0.96
70,110650.46,536.18,449.27,441.63,319.01,162.73,0.80,1.38,0.72,0.96
71,111978.87,534.15,488.19,445.52,320.02,163.02,0.80,1.39,0.72,0.95
72,112924.79,531.67,462.85,447.20,321.51,162.66,0.79,1.39,0.72,0.96
73,114608.95,531.97,463.81,448.59,325.29,163.55,0.81,1.38,0.73,0.96
74,117132.09,530.71,492.92,452.56,329.54,163.61,0.81,1.37,0.73,0.96
