Stage,Section,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
5b,43,9589.16,386.67,379.76,178.87,68.26,16.42,0.43,2.62,0.38,0.76
5b,44,10095.49,377.67,383.59,190.44,67.50,16.30,0.43,2.82,0.35,0.74
5b,45,9044.71,388.25,382.22,181.23,63.54,18.52,0.40,2.85,0.35,0.70
5b,46,9215.85,380.90,382.85,176.03,66.66,13.08,0.32,2.64,0.38,0.64
5b,47,7714.60,375.81,385.36,169.11,58.08,10.37,0.28,2.91,0.34,0.58
5b,48,6777.32,377.14,386.10,164.26,52.53,14.55,0.38,3.13,0.32,0.69
5b,49,6545.00,375.66,386.07,163.83,50.86,13.83,0.38,3.22,0.31,0.68
5b,50,6866.88,373.50,385.60,164.28,53.22,9.75,0.32,3.09,0.32,0.63
5b,51,6906.79,366.81,383.60,162.21,54.21,8.82,0.27,2.99,0.33,0.59
5b,52,6928.96,369.27,384.43,167.32,52.73,11.73,0.28,3.17,0.32,0.64
5c,65,100960.91,544.68,473.37,432.63,297.13,160.18,0.82,1.46,0.69,0.96
5c,66,102239.96,540.39,471.84,431.98,301.35,161.50,0.83,1.43,0.70,0.96
5c,67,104931.73,538.35,474.55,433.92,307.90,162.02,0.84,1.41,0.71,0.96
5c,68,106167.60,535.88,451.79,433.79,311.62,162.23,0.83,1.39,0.72,0.96
5c,69,108941.63,538.33,448.68,438.12,316.60,162.78,0.80,1.38,0.72,0.96
5c,70,110650.46,536.18,449.27,441.63,319.01,162.73,0.80,1.38,0.72,0.96
5c,71,111978.87,534.15,488.19,445.52,320.02,163.02,0.80,1.39,0.72,0.95
5c,72,112924.79,531.67,462.85,447.20,321.51,162.66,0.79,1.39,0.72,0.96
5c,73,114608.95,531.97,463.81,448.59,325.29,163.55,0.81,1.38,0.73,0.96
5c,74,117132.09,530.71,492.92,452.56,329.54,163.61,0.81,1.37,0.73,0.96
