Day,Section,Series,Slice,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity
12,3,1,18,26573.51,208.77,263.83,229.90,147.17,140.37,0.41,1.56,0.64,0.78
12,3,1,19,26654.77,207.45,263.50,233.90,145.10,140.52,0.47,1.61,0.62,0.81
12,3,1,20,26571.79,207.70,263.17,232.74,145.36,139.04,0.47,1.60,0.62,0.81
12,3,1,21,27029.94,207.77,262.69,234.65,146.67,139.75,0.45,1.60,0.63,0.81
12,3,1,22,27367.08,205.62,261.34,237.83,146.51,139.09,0.38,1.62,0.62,0.79
12,2,10,19,58698.58,610.55,630.53,316.45,236.18,129.82,0.62,1.34,0.75,0.89
12,2,10,20,58305.40,608.66,629.50,314.82,235.81,127.42,0.59,1.34,0.75,0.89
12,2,10,21,58154.38,609.35,630.56,315.43,234.74,130.27,0.59,1.34,0.74,0.88
12,2,10,22,56945.13,610.27,629.38,312.55,231.98,130.29,0.62,1.35,0.74,0.89
12,2,10,23,58894.41,607.99,626.43,326.25,229.85,125.96,0.62,1.42,0.70,0.89
12,1,10,12,68393.27,558.92,699.69,330.49,263.49,106.67,0.86,1.25,0.80,0.99
12,1,10,13,67989.15,558.83,698.76,330.64,261.82,106.76,0.88,1.26,0.79,0.99
12,1,10,14,67414.19,558.77,698.61,329.23,260.72,107.06,0.90,1.26,0.79,0.98
12,1,10,15,67183.56,559.38,698.55,329.53,259.58,105.65,0.87,1.27,0.79,0.98
12,1,10,16,68109.77,560.06,697.62,330.37,262.49,106.26,0.87,1.26,0.79,0.98
10,-1,-1,-1,13567.72,211.59,229.10,243.35,70.97,154.50,0.44,3.43,0.29,0.78
10,C5-E7_Slide16_Sec3_HYPO,-1,9,14770.32,235.50,339.65,242.55,77.53,178.68,0.48,3.13,0.32,0.80
10,C5-E7_Slide16_Sec3_HYPO,-1,10,14800.77,234.93,341.71,244.60,77.04,178.37,0.49,3.17,0.31,0.80
10,C5-E7_Slide16_Sec3_HYPO,-1,11,14049.54,234.46,339.34,241.05,74.21,178.35,0.46,3.25,0.31,0.80
10,C5-E7_Slide16_Sec3_HYPO,-1,12,14163.48,233.80,339.27,239.17,75.40,178.39,0.43,3.17,0.32,0.78
10,C5-E7_Slide16_Sec3_HYPO,-1,13,14008.52,236.69,338.08,249.87,71.38,179.13,0.44,3.50,0.29,0.78
10,C5-E7_Slide17_Sec1_HYPO,-1,11,9828.15,175.85,342.87,224.19,55.82,177.56,0.37,4.02,0.25,0.75
10,C5-E7_Slide17_Sec1_HYPO,-1,12,9839.66,177.13,342.22,226.60,55.29,179.30,0.35,4.10,0.24,0.73
10,C5-E7_Slide17_Sec1_HYPO,-1,13,9989.20,173.92,341.66,232.42,54.72,179.59,0.33,4.25,0.24,0.72
10,C5-E7_Slide17_Sec1_HYPO,-1,14,8417.96,169.82,340.83,229.10,46.78,176.93,0.34,4.90,0.20,0.79
10,C5-E7_Slide17_Sec1_HYPO,-1,15,8058.81,159.16,341.58,203.48,50.43,0.12,0.32,4.04,0.25,0.82
10,E9_Slide16_Sec3,-1,12,18235.33,227.76,303.84,211.69,109.68,11.85,0.34,1.93,0.52,0.60
10,E9_Slide16_Sec3,-1,13,17773.50,228.85,300.58,211.88,106.81,11.26,0.37,1.98,0.50,0.61
10,E9_Slide16_Sec3,-1,14,17775.66,229.94,302.34,208.56,108.52,10.83,0.34,1.92,0.52,0.61
10,E9_Slide16_Sec3,-1,15,17317.01,231.14,304.79,202.22,109.03,11.01,0.33,1.85,0.54,0.58
10,E9_Slide16_Sec3,-1,16,17488.04,229.67,304.69,202.62,109.89,11.80,0.34,1.84,0.54,0.59
10,E9_Slide17_Sec1,-1,9,17652.20,244.33,296.42,196.08,114.62,19.09,0.31,1.71,0.58,0.56
10,E9_Slide17_Sec1,-1,10,17523.73,245.34,296.54,195.67,114.03,20.36,0.30,1.72,0.58,0.55
10,E9_Slide17_Sec1,-1,11,16651.40,244.64,297.16,189.48,111.89,19.03,0.30,1.69,0.59,0.55
10,E9_Slide17_Sec1,-1,12,14330.54,242.34,289.64,180.51,101.08,14.75,0.24,1.79,0.56,0.49
10,E9_Slide17_Sec1,-1,13,15316.63,240.54,293.11,179.80,108.46,16.26,0.26,1.66,0.60,0.51
